Metric,Model_A,Model_B,Mean_Diff,t-stat,p-value,is_significant,result
specificity,DESKL,DecisionTreeClassifier,-0.035812257917521066,-1.2010156584429825,0.2326107068469661,False,No Diff
specificity,DESKL,Exponential,0.0,0.0,1.0,False,No Diff
specificity,DESKL,KNORAE,-0.024525518341307773,-2.8975688784942415,0.004630198823046212,True,Worse
specificity,DESKL,LogisticRegression,-0.27039188881294146,-9.605830341212215,7.92533511907666e-16,True,Worse
specificity,DESKL,METADES,0.0,0.0,1.0,False,No Diff
specificity,DESKL,MLA,-0.043897243107769386,-2.1430886148574477,0.0345566940187588,True,Worse
specificity,DESKL,RandomForestClassifier,0.0,0.0,1.0,False,No Diff
specificity,DESKL,SGDClassifier,-0.34148325358851667,-4.110551433417119,8.15182151424046e-05,True,Worse
specificity,DESKL,StackingClassifier,-0.5159119389382547,-22.447706466167222,1.2675145366073546e-40,True,Worse
specificity,DESKL,VotingClassifier,-7.5757575757575e-05,-0.2873478855663455,0.7744465640961099,False,No Diff
specificity,DESKL,XGBClassifier,-0.44977728411938933,-11.514095566985606,5.659090093995117e-20,True,Worse
specificity,DecisionTreeClassifier,DESKL,0.035812257917521066,1.2010156584429825,0.2326107068469661,False,No Diff
specificity,DecisionTreeClassifier,Exponential,0.035812257917521066,1.2010156584429825,0.2326107068469661,False,No Diff
specificity,DecisionTreeClassifier,KNORAE,0.011286739576213293,0.3593676679341099,0.7200854357866993,False,No Diff
specificity,DecisionTreeClassifier,LogisticRegression,-0.2345796308954204,-5.699298047315864,1.2429190980692726e-07,True,Worse
specificity,DecisionTreeClassifier,METADES,0.035812257917521066,1.2010156584429825,0.2326107068469661,False,No Diff
specificity,DecisionTreeClassifier,MLA,-0.00808498519024832,-0.24551389041238167,0.8065667967054215,False,No Diff
specificity,DecisionTreeClassifier,RandomForestClassifier,0.035812257917521066,1.2010156584429825,0.2326107068469661,False,No Diff
specificity,DecisionTreeClassifier,SGDClassifier,-0.3056709956709956,-3.503409489950447,0.0006911585210094453,True,Worse
specificity,DecisionTreeClassifier,StackingClassifier,-0.48009968102073364,-13.673717639382364,1.5455691007190473e-24,True,Worse
specificity,DecisionTreeClassifier,VotingClassifier,0.03573650034176349,1.1979811061688588,0.2337845844757748,False,No Diff
specificity,DecisionTreeClassifier,XGBClassifier,-0.41396502620186826,-8.18551755464856,9.597074633204748e-13,True,Worse
