model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max
DESKL,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
DecisionTreeClassifier,100.0,0.18837902120454725,0.06886387971234881,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.4394904458598726
Exponential,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
KNORAE,100.0,0.17894622268805932,0.020177442693044965,0.1528662420382165,0.1656050955414012,0.1719745222929936,0.19017576392808194,0.2738853503184713
LogisticRegression,100.0,0.38193219382407484,0.06593492752739814,0.197452229299363,0.3354430379746835,0.384120777231315,0.4331210191082802,0.535031847133758
METADES,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
MLA,100.0,0.19401152946867686,0.04670508581503607,0.1528662420382165,0.1592356687898089,0.17515923566878974,0.21553253245182616,0.3885350318471338
RandomForestClassifier,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164
SGDClassifier,100.0,0.43442433282270415,0.1869190548742327,0.1847133757961783,0.2784810126582278,0.3439490445859872,0.6114649681528662,0.8089171974522293
StackingClassifier,100.0,0.5804817382891236,0.05385413436173128,0.4331210191082802,0.5469039748447956,0.5859872611464968,0.6114649681528662,0.6942675159235668
VotingClassifier,100.0,0.1597303071837458,0.0019495344007594449,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.170886075949367
XGBClassifier,100.0,0.5282951705232606,0.091715402583837,0.2547770700636942,0.4705917923083125,0.5382165605095541,0.5923566878980892,0.7151898734177216
