model,average_precision_count,average_precision_mean,average_precision_std,average_precision_min,average_precision_25%,average_precision_50%,average_precision_75%,average_precision_max
DESKL,100.0,0.5504702622011335,0.08171720843045398,0.3586572447326333,0.5005863855666037,0.5555849868257441,0.6005749849166864,0.7365203735605373
DecisionTreeClassifier,100.0,0.2483307560057879,0.07030832948665519,0.1579801506524206,0.19822598339012526,0.23473967993320638,0.2833553823418862,0.5560922273231375
Exponential,100.0,0.5166224262846602,0.0881162235071622,0.343381406204768,0.4510622203562849,0.5032873434941747,0.566209678369211,0.7424274128773863
KNORAE,100.0,0.37078549296792884,0.08057559730399003,0.2100846343784961,0.32023977778172485,0.35893016653853604,0.4208342626488542,0.5945003988161262
LogisticRegression,100.0,0.5612351612700303,0.08609102335225126,0.3869985616630695,0.5050058242700732,0.5608152050202884,0.6167251895666161,0.7624686926559382
METADES,100.0,0.5232447376208913,0.09239768107716644,0.3406588512079046,0.4508856635394899,0.5289090059182865,0.5820745278345048,0.7569656623161412
MLA,100.0,0.32385785887517776,0.06948371072754755,0.1742716552317672,0.27084644294109467,0.32028842656461187,0.3685548404949308,0.4845820621945393
RandomForestClassifier,100.0,0.5614107954456558,0.07941882065226318,0.3414442067610389,0.5051771900378648,0.5707657788522916,0.6119795733769916,0.7556425226092114
SGDClassifier,100.0,0.4158945434256091,0.12099018982764843,0.2098196458418033,0.30241779828189075,0.4188098199446515,0.5100422098944762,0.7049397111450026
StackingClassifier,100.0,0.6094071661081412,0.0766353563600232,0.4015912217884571,0.5619103528510041,0.6182344156843452,0.6603606853273192,0.7510253171605519
VotingClassifier,100.0,0.6009378008205762,0.08080961395039693,0.3748781935201382,0.5400297121382142,0.6065619674709053,0.6510966059009422,0.7654342908598837
XGBClassifier,100.0,0.6122716234303376,0.08268367847556655,0.4094148542444364,0.5615165796794627,0.6134313780584364,0.6738718552940167,0.7866166156283182
