model,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max
DESKL,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
DecisionTreeClassifier,100.0,0.2815760359304216,0.01639288540386019,0.2705882352941176,0.2747252747252747,0.2747252747252747,0.2799544994944388,0.3623188405797101
Exponential,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
KNORAE,100.0,0.27839020016118665,0.007186273103163648,0.2569832402234637,0.2747252747252747,0.2777777777777778,0.2824858757062147,0.3048780487804878
LogisticRegression,100.0,0.33507377062436305,0.023115791908914784,0.2840909090909091,0.31874826917751314,0.3322295805739514,0.352112676056338,0.4094488188976378
METADES,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
MLA,100.0,0.2809008679320705,0.01086389182484539,0.2650602409638554,0.2747252747252747,0.2771084337349397,0.2841530054644808,0.323943661971831
RandomForestClassifier,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739
SGDClassifier,100.0,0.358912750278991,0.07086762956629744,0.2808988764044944,0.3048780487804878,0.326797385620915,0.3962360521766462,0.55
StackingClassifier,100.0,0.4138555099747381,0.0337843312851273,0.3503649635036496,0.3897180140992951,0.4124939231891104,0.440091743119266,0.5
VotingClassifier,100.0,0.2753789368151449,0.0025186708238057504,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2841530054644808
XGBClassifier,100.0,0.3941311992989609,0.04357504732829923,0.2994011976047904,0.3636363636363636,0.3968253968253968,0.4219841639496972,0.5161290322580645
