model,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max
DESKL,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier,100.0,0.9912000000000001,0.02579170644242294,0.88,1.0,1.0,1.0,1.0
Exponential,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
KNORAE,100.0,0.9916307692307691,0.021450948865263057,0.88,1.0,1.0,1.0,1.0
LogisticRegression,100.0,0.9689384615384614,0.03733882423310717,0.84,0.96,0.9807692307692308,1.0,1.0
METADES,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MLA,100.0,0.9840615384615385,0.029368684584297308,0.88,0.96,1.0,1.0,1.0
RandomForestClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,100.0,0.9229538461538462,0.10402633193542526,0.52,0.88,0.96,1.0,1.0
StackingClassifier,100.0,0.9203384615384615,0.055855539141291335,0.7692307692307693,0.88,0.92,0.96,1.0
VotingClassifier,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier,100.0,0.9414461538461538,0.04814052110518749,0.84,0.92,0.96,0.9711538461538461,1.0
