model,average_cost_count,average_cost_mean,average_cost_std,average_cost_min,average_cost_25%,average_cost_50%,average_cost_75%,average_cost_max,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_25%,accuracy_50%,accuracy_75%,accuracy_max,precision_count,precision_mean,precision_std,precision_min,precision_25%,precision_50%,precision_75%,precision_max,recall_count,recall_mean,recall_std,recall_min,recall_25%,recall_50%,recall_75%,recall_max,f1_count,f1_mean,f1_std,f1_min,f1_25%,f1_50%,f1_75%,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.8403329839554948,0.0016657955207305922,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8181084783637413,0.041817573127884325,0.7018181818181819,0.788409090909091,0.8183333333333334,0.8452272727272727,0.9230303030303032
DecisionTreeClassifier,100.0,0.8242251874546482,0.04976320679077086,0.5605095541401274,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.9044585987261148,100.0,0.18837902120454725,0.06886387971234881,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1645569620253164,0.4394904458598726,100.0,0.164283248986885,0.011927544377909818,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1635882200981658,0.2212389380530973,100.0,0.9912000000000001,0.02579170644242294,0.88,1.0,1.0,1.0,1.0,100.0,0.2815760359304216,0.01639288540386019,0.2705882352941176,0.2747252747252747,0.2747252747252747,0.2799544994944388,0.3623188405797101,100.0,0.644378328688855,0.07982709942070837,0.4875757575757575,0.5964960697197539,0.6461363636363637,0.7089647413989519,0.8846969696969696
Exponential,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.001665795520730567,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8044310181047024,0.04747051061548,0.7054545454545456,0.768560606060606,0.7968181818181819,0.8399737762237762,0.9227272727272728
KNORAE,100.0,0.8330738531000564,0.03756554895824718,0.7261146496815286,0.8152866242038217,0.8280254777070064,0.8407643312101911,0.9620253164556962,100.0,0.17894622268805932,0.020177442693044965,0.1528662420382165,0.1656050955414012,0.1719745222929936,0.19017576392808194,0.2738853503184713,100.0,0.16193677700491352,0.004523387511041672,0.1493506493506493,0.16,0.1612903225806451,0.1644736842105263,0.1798561151079136,100.0,0.9916307692307691,0.021450948865263057,0.88,1.0,1.0,1.0,1.0,100.0,0.27839020016118665,0.007186273103163648,0.2569832402234637,0.2747252747252747,0.2777777777777778,0.2824858757062147,0.3048780487804878,100.0,0.7246779891161471,0.05533011618472982,0.5824242424242425,0.6872727272727273,0.7204539758487127,0.7587593984962406,0.863030303030303
LogisticRegression,100.0,0.6627122470370073,0.07201348809197007,0.4746835443037974,0.6050955414012739,0.6624203821656051,0.7197452229299363,0.8152866242038217,100.0,0.38193219382407484,0.06593492752739814,0.197452229299363,0.3354430379746835,0.384120777231315,0.4331210191082802,0.535031847133758,100.0,0.20285822585312696,0.016924928477841866,0.1655629139072847,0.19047825584085123,0.20246635239461636,0.2155172413793103,0.2574257425742574,100.0,0.9689384615384614,0.03733882423310717,0.84,0.96,0.9807692307692308,1.0,1.0,100.0,0.33507377062436305,0.023115791908914784,0.2840909090909091,0.31874826917751314,0.3322295805739514,0.352112676056338,0.4094488188976378,100.0,0.830066954098533,0.04673646955906059,0.6915151515151515,0.8008333333333333,0.8328787878787879,0.865259324009324,0.9124242424242424
METADES,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8110769239532398,0.04524241546096893,0.7124242424242425,0.7776515151515152,0.8075757575757576,0.8467424242424242,0.9196969696969696
MLA,100.0,0.8288857534467468,0.041875107148135714,0.6835443037974683,0.8089171974522293,0.8343949044585988,0.8407643312101911,0.9490445859872612,100.0,0.19401152946867686,0.04670508581503607,0.1528662420382165,0.1592356687898089,0.17515923566878974,0.21553253245182616,0.3885350318471338,100.0,0.1639199479816655,0.007671780941113609,0.1538461538461538,0.1592356687898089,0.1612903225806451,0.1656050955414012,0.1965811965811965,100.0,0.9840615384615385,0.029368684584297308,0.88,0.96,1.0,1.0,1.0,100.0,0.2809008679320705,0.01086389182484539,0.2650602409638554,0.2747252747252747,0.2771084337349397,0.2841530054644808,0.323943661971831,100.0,0.6911482854864436,0.06098234954163678,0.5146969696969697,0.6604545454545455,0.6941883116883117,0.7335984848484849,0.8056060606060607
RandomForestClassifier,100.0,0.8403329839554949,0.0016657955207305924,0.8354430379746836,0.8407643312101911,0.8407643312101911,0.8407643312101911,0.8417721518987342,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,0.1596670160445053,0.0016657955207305673,0.1582278481012658,0.1592356687898089,0.1592356687898089,0.1592356687898089,0.1645569620253164,100.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2753634937170218,0.0024685657153327625,0.273224043715847,0.2747252747252747,0.2747252747252747,0.2747252747252747,0.2826086956521739,100.0,0.8310511541090491,0.03676046167205119,0.7147435897435898,0.8090909090909091,0.8348251748251747,0.8565413533834586,0.921818181818182
SGDClassifier,100.0,0.6760783681367412,0.11191253853664243,0.4012738853503185,0.6009735547851326,0.6984197371603644,0.7531847133757963,0.9872611464968152,100.0,0.43442433282270415,0.1869190548742327,0.1847133757961783,0.2784810126582278,0.3439490445859872,0.6114649681528662,0.8089171974522293,100.0,0.22944676266770364,0.06632397481384532,0.1633986928104575,0.18030237464164,0.1953125,0.27180631868131866,0.4358974358974359,100.0,0.9229538461538462,0.10402633193542526,0.52,0.88,0.96,1.0,1.0,100.0,0.358912750278991,0.07086762956629744,0.2808988764044944,0.3048780487804878,0.326797385620915,0.3962360521766462,0.55,100.0,0.7895859495767391,0.06649904090104995,0.6221212121212121,0.7489015151515152,0.7963636363636364,0.8445833333333332,0.901818181818182
StackingClassifier,100.0,0.5339901636700798,0.09183092702826039,0.3566878980891719,0.464968152866242,0.5286624203821656,0.5939490445859872,0.759493670886076,100.0,0.5804817382891236,0.05385413436173128,0.4331210191082802,0.5469039748447956,0.5859872611464968,0.6114649681528662,0.6942675159235668,100.0,0.2676074086845156,0.02684917008645892,0.2142857142857142,0.24739496729852561,0.26477952427319507,0.2844967532467533,0.3380281690140845,100.0,0.9203384615384615,0.055855539141291335,0.7692307692307693,0.88,0.92,0.96,1.0,100.0,0.4138555099747381,0.0337843312851273,0.3503649635036496,0.3897180140992951,0.4124939231891104,0.440091743119266,0.5,100.0,0.8564642927248189,0.038162521006157565,0.7229020979020979,0.8331060606060606,0.8618181818181818,0.8837907925407925,0.9145454545454546
