model,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_25%,roc_auc_50%,roc_auc_75%,roc_auc_max
DESKL,100.0,0.8170274094326726,0.04340902386121447,0.7012121212121213,0.7899772157666894,0.8196217817270448,0.8455303030303031,0.9136363636363636
DecisionTreeClassifier,100.0,0.6521659721857092,0.07323738177296531,0.4831818181818182,0.6072348484848484,0.6628030303030302,0.69993006993007,0.8013636363636364
Exponential,100.0,0.8049089086352244,0.04656179898135803,0.6306766917293234,0.7721969696969696,0.8049999999999999,0.8379545454545454,0.886969696969697
KNORAE,100.0,0.7270676034491824,0.05785572352148873,0.5721212121212121,0.6895075757575758,0.7254317612212349,0.7696590909090909,0.8754545454545454
LogisticRegression,100.0,0.830234385789649,0.04717231406474195,0.6689976689976691,0.8053787878787879,0.8313636363636364,0.8633187645687646,0.9263636363636364
METADES,100.0,0.8114769616348562,0.04820626057838941,0.6454135338345864,0.7815151515151515,0.8134848484848485,0.8439831002331003,0.9227272727272728
MLA,100.0,0.6812821218255428,0.06634079135731136,0.5078787878787878,0.6354050116550116,0.6894343814080657,0.7222727272727274,0.8654545454545455
RandomForestClassifier,100.0,0.8291002331002331,0.03761302951337251,0.7202797202797203,0.8057575757575758,0.827470950102529,0.8533065618591934,0.9181818181818182
SGDClassifier,100.0,0.7796740750477593,0.07389435767485288,0.6142424242424243,0.7321212121212122,0.7903383458646617,0.8387878787878789,0.8975757575757576
StackingClassifier,100.0,0.8573305562858192,0.04054133777907787,0.7325174825174825,0.8342424242424242,0.8580303030303029,0.8874009324009324,0.9472727272727272
VotingClassifier,100.0,0.8517237236447762,0.044013124333263834,0.6911421911421912,0.8248484848484849,0.8569696969696969,0.8833333333333333,0.926060606060606
XGBClassifier,100.0,0.8525133717160034,0.04132305926201228,0.7156177156177156,0.828030303030303,0.8543939393939395,0.881625874125874,0.9284848484848484
