model,specificity_count,specificity_mean,specificity_std,specificity_min,specificity_25%,specificity_50%,specificity_75%,specificity_max
DESKL,100.0,0.6958196627933472,0.06658189511317944,0.5227272727272727,0.6496212121212122,0.7045454545454546,0.7367424242424243,0.8787878787878788
DecisionTreeClassifier,100.0,0.5337178172704489,0.2193067376613537,0.0,0.41477272727272724,0.5833333333333334,0.6818181818181818,0.8787878787878788
Exponential,100.0,0.7177933470038734,0.05847922459595912,0.5757575757575758,0.6818181818181818,0.7196969696969697,0.759469696969697,0.8270676691729323
KNORAE,100.0,0.7501253132832081,0.040289027612400934,0.6590909090909091,0.7272727272727273,0.75,0.7803030303030303,0.8484848484848485
LogisticRegression,100.0,0.6555940988835727,0.05748987583918387,0.4772727272727273,0.6136363636363636,0.6628787878787878,0.696969696969697,0.7803030303030303
METADES,100.0,0.8175780359990887,0.04237593781868457,0.696969696969697,0.7890749601275917,0.8257575757575758,0.8484848484848485,0.9166666666666666
MLA,100.0,0.6655342902711324,0.1222034276105169,0.2878787878787879,0.5909090909090909,0.6666666666666666,0.759469696969697,0.8939393939393939
RandomForestClassifier,100.0,0.5880029619503303,0.09449079204667309,0.2196969696969697,0.5368677375256322,0.6022727272727273,0.6458333333333333,0.7727272727272727
SGDClassifier,100.0,0.6264217361585783,0.11509756447363069,0.3257575757575757,0.553030303030303,0.6212121212121212,0.7140151515151516,0.8787878787878788
StackingClassifier,100.0,0.7987200956937798,0.038892160424707785,0.7121212121212122,0.7727272727272727,0.803030303030303,0.8257575757575758,0.8939393939393939
VotingClassifier,100.0,0.6969731146046932,0.07324490158863992,0.4696969696969697,0.6496212121212122,0.7083333333333334,0.75,0.8181818181818182
XGBClassifier,100.0,0.8207399179767602,0.03907680701706068,0.7272727272727273,0.7954545454545454,0.821969696969697,0.8484848484848485,0.9015151515151516
